"SYS_FIELD_NAME"," FIELD_DESC",
"YEAR","Year",
"MONTH","Month",
"OP_UNIQUE_CARRIER","Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years.",
"ORIGIN_AIRPORT_ID","Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"ORIGIN_AIRPORT_SEQ_ID","Origin Airport, Airport Sequence ID. An identification number assigned by US DOT to identify a unique airport at a given point of time.  Airport attributes, such as airport name or coordinates, may change over time.",
"ORIGIN_CITY_NAME","Origin Airport, City Name",
"ORIGIN_STATE_NM","Origin Airport, State Name",
"DEST_AIRPORT_ID","Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"DEST_AIRPORT_SEQ_ID","Destination Airport, Airport Sequence ID. An identification number assigned by US DOT to identify a unique airport at a given point of time.  Airport attributes, such as airport name or coordinates, may change over time.",
"DEST_CITY_NAME","Destination Airport, City Name",
"DEST_STATE_NM","Destination Airport, State Name",
"DEP_DELAY","Difference in minutes between scheduled and actual departure time. Early departures show negative numbers.",
"DEP_DELAY_NEW","Difference in minutes between scheduled and actual departure time. Early departures set to 0.",
"ARR_DELAY","Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.",
"ARR_DELAY_NEW","Difference in minutes between scheduled and actual arrival time. Early arrivals set to 0.",
"ARR_DELAY_GROUP","Arrival Delay intervals, every (15-minutes from <-15 to >180)",
"CANCELLED","Cancelled Flight Indicator (1=Yes)",
"CANCELLATION_CODE","Specifies The Reason For Cancellation",
"DIVERTED","Diverted Flight Indicator (1=Yes)",
"AIR_TIME","Flight Time, in Minutes",
"DISTANCE","Distance between airports (miles)",
"CARRIER_DELAY","Carrier Delay, in Minutes",
"WEATHER_DELAY","Weather Delay, in Minutes",
"NAS_DELAY","National Air System Delay, in Minutes",
"SECURITY_DELAY","Security Delay, in Minutes",
"LATE_AIRCRAFT_DELAY","Late Aircraft Delay, in Minutes",
